学校名,学年,出願期間,試験日,試験実施期間,発表日,入試科目,面接,募集人員,URL,ページタイトル,所在地,連絡先,詳細,入試科目等,出願期間等
立命館守山中学校,"1,2年",～9/24,,12/14～23,1週間以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/8714/,2024年12月実施　中学転・編入試験要項　立命館守山中学校,滋賀県守山市,077-582-8000,ホームページ・詳細はこちら,,
工学院大学附属高等学校,"新2,3年",2/5～2/15,2/22,,2/22,数・英・作,受・保,若干名,https://www.jolnet.com/transfer/10410/,2025年3月実施　高校転・編入試験要項　工学院大学附属高等学校,東京都八王子市,042-628-4914,ホームページ・詳細はこちら,,
西武学園文理中学校,"1,2年",6/25～7/3,7/6,,7/6,英・数・国・作,受・保,若干名,https://www.jolnet.com/transfer/7199/,2024年7月実施　中学転・編入試験要項　西武学園文理中学校,埼玉県狭山市,04-2954-4080,ホームページ・詳細はこちら,,
お茶の水女子大学附属中学校,"1,2年",6/1～7/1,7/22,,7/23,筆答試験,受・保別々,1年 男女各5名　2年 男子若干名,https://www.jolnet.com/transfer/7386/,2024年8月実施　中学転・編入試験要項　お茶の水女子大学附属中学校,東京都文京区,03-5978-5862,ホームページ・詳細はこちら,,
札幌光星中学校,"1,2,3年",9/2～9/11,9/19,,9/19,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7769/,2024年9月実施　中学転・編入試験要項　札幌光星中学校,北海道札幌市,011-711-7161,ホームページ・詳細はこちら,,
梅花中学校,"1,2年",～7/13　※ 要事前相談,7/18,,7/19,英・数・国・作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/7444/,2024年7月実施　中学転・編入試験要項　梅花中学校,大阪府豊中市,06-6852-0001,ホームページ・詳細はこちら,,
不二聖心女子学院中学校,新3年,1/15～1/30　※ 要受験相談,2/3,,2/4,英・数 or 英・国,受のみ＋受・保,5名,https://www.jolnet.com/transfer/9903/,2025年2月実施　中学転・編入試験要項　不二聖心女子学院中学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
帝京ロンドン学園高等部,"1,2,3年",6/2～6/12　※ 事前にメールで資格認定を受けること,6/18～6/20,,6/23,書類審査,受験生（日本語・英語）、保護者（日本語）,若干名,https://www.jolnet.com/transfer/10727/,2025年6月実施　高校転・編入試験要項　帝京ロンドン学園高等部,ロンドン郊外,帝京ロンドン学園：+44 (0)1753 663712帝京大学国際化推進室：03-3964-9044,ホームページ・詳細はこちら,,
緑ヶ丘女子高等学校,"1,2年",12/11～12/17,12/18,,12/18,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9766/,2025年1月実施　高校転・編入試験要項　緑ヶ丘女子高等学校,神奈川県横須賀市,046-822-1651,ホームページ・詳細はこちら,,
麗澤瑞浪高等学校,1年,※ 要事前連絡,7月,,,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7506/,2024年7月実施　高校転・編入試験要項　麗澤瑞浪高等学校,岐阜県瑞浪市,0572-66-3111,ホームページ・詳細はこちら,,
名古屋高等学校,新2年,2/3～2/28,3/19,,3/19,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10488/,2025年3月実施　高校転・編入試験要項　名古屋高等学校,愛知県名古屋市,052-721-5271,ホームページ・詳細はこちら,,
開智望中等教育学校,"1,2,3年",7/1～7/25,7/27,,,基礎学力調査,受のみ,若干名,https://www.jolnet.com/transfer/7608/,2024年7月実施　中学転・編入試験要項　開智望中等教育学校,茨城県つくばみらい市,0297-38-8220,ホームページ・詳細はこちら,,
英数学館高等学校,"新2,3年",2/17～2/21,3/3,,3/7,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10178/,2025年3月実施　高校転・編入試験要項　英数学館高等学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
城西大学附属城西高等学校,2年,6/22～7/6　※ 要事前相談,7/9,,7/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7185/,2024年7月実施　高校転・編入試験要項　城西大学附属城西高等学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
聖学院高等学校,,,6/19,,6/19,,,,https://www.jolnet.com/transfer/7105/,2024年7月実施　高校転・編入試験要項　聖学院高等学校,東京都北区,03-3917-1121,ホームページ・詳細はこちら,,要問い合わせ
東北学院高等学校,"1,2,3年",6/24～7/2,7/8,,7/9,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7189/,2024年7月実施　高校転・編入試験要項　東北学院高等学校,宮城県仙台市,022-786-1231,ホームページ・詳細はこちら,,
芝国際高等学校,新2年,2/22～2/25,3/3,,3/4,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10323/,2025年3月実施　高校転・編入試験要項　芝国際高等学校,東京都港区,03-3451-0912,ホームページ・詳細はこちら,,
不二聖心女子学院高等学校,"1,2年",～12/14　※ 要受験相談,12/21,,,英・数 or 英・国,受のみ＋受・保,欠員分,https://www.jolnet.com/transfer/9001/,2024年12月実施　高校転・編入試験要項　不二聖心女子学院高等学校,静岡県裾野市,055-992-0213,ホームページ・詳細はこちら,,
かえつ有明高等学校,"1,2,3年",7/2～7/5,7/9,,7/9,Regular選考：英・数・国Honors選考：英・作・英Essay,Honors選考：受のみグループ（英）,若干名,https://www.jolnet.com/transfer/7268/,2024年7月実施　高校転・編入試験要項　かえつ有明高等学校,東京都江東区,03-5564-2161,ホームページ・詳細はこちら,,
立命館宇治高等学校,新2年,1/8～1/21,2/10,,2/12,IGコース：小論文（日 or 英）,受・保,若干名,https://www.jolnet.com/transfer/9966/,2025年2月実施　高校転・編入試験要項　立命館宇治高等学校,京都府宇治市,0774-41-3000,ホームページ・詳細はこちら,,
立命館慶祥高等学校,"新2,3年",～1/20,2/8,,2/17,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9868/,2025年2月実施　高校転・編入試験要項　立命館慶祥高等学校,北海道江別市,011-381-8888,ホームページ・詳細はこちら,,
岩田中学校,"1,2,3年",～2/28,3/8,,3/8,英・数・国,受・保,定めず,https://www.jolnet.com/transfer/10549/,2025年3月実施　中学転・編入試験要項　岩田中学校,大分県大分市,097-558-3007,ホームページ・詳細はこちら,,
富士見中学校,"新2,3年",2/17～3/1,3/8,,3/8,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10168/,2025年3月実施　中学転・編入試験要項　富士見中学校,東京都練馬区,03-3999-2136,ホームページ・詳細はこちら,,
啓明学園高等学校,"1,2,3年",6/22～7/8,OL型：7/18来校型：7/19,,7/19,OL型 　 英語型：英作日本語型：作外国語型：作（学習言語による）来校型　英語型：英・作（日・英）日本語型：英・数・国外国語型：作（日・外国語）,受のみ※ 7/13 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/7178/,2024年7月実施　高校転・編入試験要項　啓明学園高等学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
西大和学園高等学校,新2年,1/25～2/24,3/10,,3/13,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/9972/,2025年3月実施　高校転・編入試験要項　西大和学園高等学校,奈良県河合町,0745-73-6565,ホームページ・詳細はこちら,,
お茶の水女子大学附属中学校,新2年,12/1～1/7,2/5,,2/6,筆答試験,受・保別々,男女計5名,https://www.jolnet.com/transfer/9707/,2025年2月実施　中学転・編入試験要項　お茶の水女子大学附属中学校,東京都文京区,03-5978-5862,ホームページ・詳細はこちら,,
札幌光星高等学校,"1,2年",9/2～9/11,9/19,,9/19,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7771/,2024年9月実施　高校転・編入試験要項　札幌光星高等学校,北海道札幌市,011-711-7161,ホームページ・詳細はこちら,,
穎明館高等学校,"1,2,3年",要事前相談,3/8,,,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/10301/,2025年3月実施　高校転・編入試験要項　穎明館高等学校,東京都八王子市,042-664-6000,ホームページ・詳細はこちら,,
暁星中学校,"新2,3年",2/6～2/10,2/17,,2/18,英・数・国 or 仏・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10439/,2025年2月実施　中学転・編入試験要項　暁星中学校,東京都千代田区,03-3262-3291,ホームページ・詳細はこちら,,
立命館宇治高等学校,"1,2年",6/3～6/17,6/29　※ OL実施,,7/4,IGコース　A方式：小論文（日 or 英）IBコース　IB方式（1年）：数（英）・小論文（英）,受のみ＋受・保※ IBコース：英　IGコース：日,若干名,https://www.jolnet.com/transfer/6777/,2024年6月実施　高校転・編入試験要項　立命館宇治高等学校,京都府宇治市,0774-41-3000,ホームページ・詳細はこちら,,
城西大学付属川越高等学校,"1,2年",～12/19,12/21,,12/23,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9003/,2024年12月実施　高校転・編入試験要項　城西大学付属川越高等学校,埼玉県川越市,049-224-5665,ホームページ・詳細はこちら,,
茗溪学園高等学校,1年,8/15～8/22,9/5　※ OL実施,,9/11,A方式：英・作IB方式：英・数・エッセイ,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/7764/,2024年9月実施　高校転・編入試験要項　茗溪学園高等学校,茨城県つくば市,029-851-6611,ホームページ・詳細はこちら,,
関西学院千里国際中等部,"1,2,3年",5/27～5/19,6/15　※ OL実施,,6/17,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/6769/,2024年6月実施　中学転・編入試験要項　関西学院千里国際中等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
京華女子中学校,"1,2,3年",6/27～7/4　※ 要事前連絡,7/6,,7/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7500/,2024年7月実施　中学転・編入試験要項　京華女子中学校,東京都文京区,03-3946-4434,ホームページ・詳細はこちら,,
関西学院千里国際中等部,"新1,2,3年",3/10～3/11,3/19　※ OL実施,,3/21,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/10305/,2025年3月実施　中学転・編入試験要項　関西学院千里国際中等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
聖学院中学校,,,6/19,,6/19,,,,https://www.jolnet.com/transfer/7102/,2024年7月実施　中学転・編入試験要項　聖学院中学校,東京都北区,03-3917-1121,ホームページ・詳細はこちら,,要問い合わせ
品川女子学院高等部,"新1,2年",2/19～2/26,3/5,,3/6,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10205/,2025年3月実施　高校転・編入試験要項　品川女子学院高等部,東京都品川区,03-3474-4048,ホームページ・詳細はこちら,,
渋谷教育学園幕張中学校,"新2,3年",2/10～2/18,3/6,,3/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10065/,2025年3月実施　中学転・編入試験要項　渋谷教育学園幕張中学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
関西学院千里国際高等部,"1,2年",7/26～7/29,8/6　※ OL実施,,8/7,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/7398/,2024年8月実施　高校転・編入試験要項　関西学院千里国際高等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
京華女子高等学校,"1,2年",11/28～12/5　※ 要事前連絡,12/7,,12/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9705/,2024年12月実施　高校転・編入試験要項　京華女子高等学校,東京都文京区,03-3946-4434,ホームページ・詳細はこちら,,
かえつ有明高等学校,"新2,3年",2/25～2/28,3/4,,3/4,Regular選考：英・数・国Honors / Advanced選考：英・作・英Essay,Honors / Advanced選考：受のみグループ（英）,欠員分,https://www.jolnet.com/transfer/10246/,2025年3月実施　高校転・編入試験要項　かえつ有明高等学校,東京都江東区,03-5564-2161,ホームページ・詳細はこちら,,
立命館宇治中学校,"2,3年",10/21～11/8,11/30,,12/6,ICコース：小論文（日 or 英）IPコース：数（英）・小論文（英）,受・保※ 上海・シンガポール・フランクフルト・ニューヨーク会場は11/24にオンラインにて,若干名,https://www.jolnet.com/transfer/8441/,2024年11月実施　中学転・編入試験要項　立命館宇治中学校,京都府宇治市,0774-41-3000,ホームページ・詳細はこちら,,
聖心女子学院中等科,"新2,3年",11/18～12/9,12/20,,12/20,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9429/,2024年12月実施　中学転・編入試験要項　聖心女子学院中等科,東京都港区,03-3444-7671,ホームページ・詳細はこちら,,
富士見丘高等学校,"1,2年",11/15～11/27,12/2,,12/2,A方式：英エッセイ・作B方式：英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9309/,2024年12月実施　高校転・編入試験要項　富士見丘高等学校,東京都渋谷区,03-3376-1481,ホームページ・詳細はこちら,,
富士見丘中学校,"1,2,3年",11/15～11/27,12/2,,12/2,A方式：英エッセイ・作B方式：英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9307/,2024年12月実施　中学転・編入試験要項　富士見丘中学校,東京都渋谷区,03-3376-1481,ホームページ・詳細はこちら,,
桐光学園高等学校,新2年,2/25～3/1,3/6,,3/6,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10250/,2025年3月実施　高校転・編入試験要項　桐光学園高等学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
啓明学院中学校,"1,2年",※ 要事前連絡　出願時作提出,8/23　※ 中2は7/25も可,,試験当日,英・数・国,受のみ（英）＋受・保,若干名,https://www.jolnet.com/transfer/7513/,2024年8月実施　中学転・編入試験要項　啓明学院中学校,兵庫県神戸市,078-741-1501,ホームページ・詳細はこちら,,
京華高等学校,新2年,2/24～3/1　※ 要事前相談,3/5,,3/5,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10414/,2025年3月実施　高校転・編入試験要項　京華高等学校,東京都文京区,03-3946-4451,ホームページ・詳細はこちら,,
英数学館中学校,"1,2,3年",11/18～11/22,12/2,,12/6,英・数・国※ イマージョンAの英・数は英語で出題,受・保※ イマージョンAの面は日・英,若干名,https://www.jolnet.com/transfer/9433/,2024年12月実施　中学転・編入試験要項　英数学館中学校,広島県福山市,084-941-4115,ホームページ・詳細はこちら,,
目白研心高等学校,1年,11/25～11/29,12/5,,12/5,英・国 or 英・数,受・保,若干名,https://www.jolnet.com/transfer/8592/,2024年12月実施　高校転・編入試験要項　目白研心高等学校,東京都新宿区,03-5996-3133,ホームページ・詳細はこちら,,
市川中学校,"新2,3年",2/22～3/1,3/8,,3/8,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10214/,2025年3月実施　中学転・編入試験要項　市川中学校,千葉県市川市,047-339-2681,ホームページ・詳細はこちら,,
清泉女学院中学校,"新2,3年",～3/7,3/12,,3/12,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10693/,2025年3月実施　中学転・編入試験要項　清泉女学院中学校,神奈川県鎌倉市,0467-46-3171,ホームページ・詳細はこちら,,
立命館守山中学校,"1,2年",～5/8,7/13～8/7,,1週間以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/6758/,2024年7月実施　中学転・編入試験要項　立命館守山中学校,滋賀県守山市,077-582-8000,ホームページ・詳細はこちら,,
渋谷教育学園幕張中学校,"1,2,3年",6/10～6/18,7/10,,7/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6840/,2024年7月実施　中学転・編入試験要項　渋谷教育学園幕張中学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
青稜高等学校,"新2,3年",2/20～2/22,3/1,,3/3,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10212/,2025年3月実施　高校転・編入試験要項　青稜高等学校,東京都品川区,03-3782-1502,ホームページ・詳細はこちら,,
土佐塾中学校,新2年,1/6～2/1,2/16,,2/17,英・数,受のみ,若干名,https://www.jolnet.com/transfer/9901/,2025年2月実施　中学転・編入試験要項　土佐塾中学校,高知県高知市,088-831-1717,ホームページ・詳細はこちら,,
関西学院千里国際中等部,1年,11/27～11/29,1/6　※ オンライン実施,,1/8,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/9646/,2025年1月実施　中学転・編入試験要項　関西学院千里国際中等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
桐光学園中学校,"1,2年",7/12～7/18,7/23,,7/23,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7347/,2024年7月実施　中学転・編入試験要項　桐光学園中学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
オンライン,"1,2,3年",11/9～11/16,11/30：ヨーロッパ・アフリカ・中東・アジア・オセアニア各エリア12/1：北・中・南アメリカ各エリア,,12/11,事前に作提出,受・保,若干名,https://www.jolnet.com/transfer/8638/,2024年11月実施　中学転・編入試験要項　大妻中野中学校　※ 海外 オンライン,東京都中野区,03-3389-7211,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,"4,5年",～11/21,11/28,,11/28,英・数・国・作,受のみ,4年 4名　5年 7名,https://www.jolnet.com/transfer/8494/,2024年11月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
同志社国際高等学校,"1,2年",5/18～5/30※ 4/22～5/15に資格認定を受けること,6/29,,7/1,A選考：高1…小論文　高2…小論文・小論文要約B選考：英・数・国,受・保　※ 面は高1B選考はなし,若干名,https://www.jolnet.com/transfer/6767/,2024年7月実施　高校転・編入試験要項　同志社国際高等学校,京都府京田辺市,0774-65-8911,ホームページ・詳細はこちら,,
工学院大学附属中学校,"新2,3年",2/5～2/15,2/22,,2/22,数・英・作,受・保,若干名,https://www.jolnet.com/transfer/10408/,2025年3月実施　中学転・編入試験要項　工学院大学附属中学校,東京都八王子市,042-628-4914,ホームページ・詳細はこちら,,
啓明学園中学校,"1,2,3年",11/22～12/10,12/20※ オンライン型は12/21,,12/21,英語型：作（日・英）　日本語型：英・数・国　 外国語型：作（日・外国語）※ オンライン型　英語型：英作　日本語型：作　 外国語型：外国語作,受のみ　※ 12/14 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/9579/,2024年12月実施　中学転・編入試験要項　啓明学園中学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
恵泉女学園高等学校,1年,11/25～11/29,12/10,,12/12,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9593/,2024年12月実施　高校転・編入試験要項　恵泉女学園高等学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
広尾学園小石川高等学校,"新1,2,3年",11/23～12/6,12/16,,12/18,英・数・国※ インターナショナルコースAGの英・数は英語表記,受のみ※ インターナショナルコースAGの面は日・英,若干名,https://www.jolnet.com/transfer/9585/,2024年12月実施　高校転・編入試験要項　広尾学園小石川高等学校,東京都文京区,03-5940-4455,ホームページ・詳細はこちら,,
恵泉女学園中学校,新3年,2/10～2/14,3/6,,3/12,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10073/,2025年3月実施　中学転・編入試験要項　恵泉女学園中学校,東京都世田谷区,03-3303-2115,ホームページ・詳細はこちら,,
宝仙学園順天堂大学系属理数インター中学校,"1,2年",11/12～11/26,12/3,,12/3,英・数・国グローバルコース：数・国・英エッセイ,受のみ※ グローバルコースの面は日・英,若干名,https://www.jolnet.com/transfer/9289/,2023年12月実施　中学転・編入試験要項　宝仙学園順天堂大学系属理数インター中学校,東京都中野区,03-3371-7109,ホームページ・詳細はこちら,,
ドルトン東京学園中等部,3年,6/24～7/8,7/22,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7195/,2024年7月実施　中学転・編入試験要項　ドルトン東京学園中等部,東京都調布市,03-5787-7945,ホームページ・詳細はこちら,,
桐光学園高等学校,"1,2年",7/12～7/18,7/23,,7/23,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/7349/,2024年7月実施　高校転・編入試験要項　桐光学園高等学校,神奈川県川崎市,044-987-0519,ホームページ・詳細はこちら,,
桜美林中学校,2年,11/25～12/7　※ 要事前相談,12/18,,12/18,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9587/,2024年12月実施　中学転・編入試験要項　桜美林中学校,東京都町田市,042-797-2668,ホームページ・詳細はこちら,,
カリタス女子高等学校,"新1,2年",2/10～2/25,3/4,,3/4,英・数・国 or 仏・数・国,受・保,若干名,https://www.jolnet.com/transfer/10079/,2025年3月実施　高校転・編入試験要項　カリタス女子高等学校,神奈川県川崎市,044-911-4656,ホームページ・詳細はこちら,,
京華女子高等学校,"新2,3年",2/21～3/5,3/7,,3/7,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10723/,2025年3月実施　高校転・編入試験要項　京華女子高等学校,東京都文京区,03-3946-4434,ホームページ・詳細はこちら,,
URLの変更,,,,,,,,,https://www.jolnet.com/transfer/6793/,JOBAの2024年9月編入試験対策ページ URLの変更,,,,,
愛知淑徳中学校,"新2,3年",～2/28　※ 要事前相談,3/11,,3/11,英・数・国,受のみ,欠員分,https://www.jolnet.com/transfer/10236/,2025年3月実施　中学転・編入試験要項　愛知淑徳中学校,愛知県名古屋市,052-781-1151,ホームページ・詳細はこちら,,
東北学院高等学校,"新2,3年",2/25～3/4,3/10,,3/11,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10447/,2025年3月実施　高校転・編入試験要項　東北学院高等学校,宮城県仙台市,022-786-1231,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,新4年,～3/19,3/27,,3/27,英・数・国・作,受のみ,欠員分,https://www.jolnet.com/transfer/10309/,2025年3月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
十文字高等学校,新2年,～3/4,3/11,,3/11,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/10267/,2025年3月実施　高校転・編入試験要項　十文字高等学校,東京都豊島区,03-3918-3977,ホームページ・詳細はこちら,,
渋谷教育学園幕張高等学校,"1,2年",11/17～11/25,12/11,,12/11,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9425/,2024年12月実施　高校転・編入試験要項　渋谷教育学園幕張高等学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
ドルトン東京学園中等部,2～5年,11/27～12/11,12/25,,試験後3日以内,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/9978/,2024年12月実施　中学転・編入試験要項　ドルトン東京学園中等部,東京都調布市,03-5787-7945,ホームページ・詳細はこちら,,
小林聖心女子学院中学校,"1,2,3年",6/10～6/17　※ 要事前相談,7/1,,7/1,"中1：算・国・作中2,3：英・数・国",受・保,若干名,https://www.jolnet.com/transfer/6934/,2024年7月実施　中学転・編入試験要項　小林聖心女子学院中学校,兵庫県宝塚市,0797-71-7321,ホームページ・詳細はこちら,,
福岡女学院高等学校,"1,2年",12/2～12/9,12/23,,12/23,作（日・英）,受・保別々,若干名,https://www.jolnet.com/transfer/9721/,2024年12月実施　高校転・編入試験要項　福岡女学院高等学校,福岡県福岡市,092-575-2470,ホームページ・詳細はこちら,,
富士見丘高等学校,"新2,3年",2/14～2/26,3/3,,3/3,A方式：英エッセイ・作B方式：英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10157/,2025年3月実施　高校転・編入試験要項　富士見丘高等学校,東京都渋谷区,03-3376-1481,ホームページ・詳細はこちら,,
立命館慶祥中学校,"1,2年",～9/17,10/5,,10/15,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/8336/,2024年10月実施　中学転・編入試験要項　立命館慶祥中学校,北海道江別市,011-381-8888,ホームページ・詳細はこちら,,
西武学園文理高等学校,"新2,3年",3/3～3/5,3/7,,3/7,英・数・国・作,受のみ,若干名,https://www.jolnet.com/transfer/10453/,2025年3月実施　高校転・編入試験要項　西武学園文理高等学校,埼玉県狭山市,04-2954-4080,ホームページ・詳細はこちら,,
富士見高等学校,"新2,3年",2/17～3/1,3/8,,3/8,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10170/,2025年3月実施　高校転・編入試験要項　富士見高等学校,東京都練馬区,03-3999-2136,ホームページ・詳細はこちら,,
城西大学附属城西中学校,1年,6/22～7/6　※ 要事前相談,7/9,,7/10,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7183/,2024年7月実施　中学転・編入試験要項　城西大学附属城西中学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
城西大学附属城西中学校,新2年,2/17～3/3　※ 要事前相談,3/5,,3/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10164/,2025年3月実施　中学転・編入試験要項　城西大学附属城西中学校,東京都豊島区,03-3973-6331,ホームページ・詳細はこちら,,
西大和学園中学校,"1,2,3年",10/28～11/27,12/10,,12/12,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/8581/,2024年12月実施　中学転・編入試験要項　西大和学園中学校,奈良県河合町,0745-73-6565,ホームページ・詳細はこちら,,
関西学院千里国際中等部,"1,2,3年",7/26～7/29,8/6　※ OL実施,,8/7,作（日 or 英）,受・保別々,若干名,https://www.jolnet.com/transfer/7396/,2024年8月実施　中学転・編入試験要項　関西学院千里国際中等部,大阪府箕面市,072-727-5050,ホームページ・詳細はこちら,,
開智望中等教育学校,"新2,3年",2/1～3/6,3/8,,,基礎学力検査,受のみ,若干名,https://www.jolnet.com/transfer/10055/,2025年3月実施　中学転・編入試験要項　開智望中等教育学校,茨城県つくばみらい市,0297-38-8857,ホームページ・詳細はこちら,,
品川女子学院高等部,"1,2年",11/28～12/4,12/11,,12/12,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/9650/,2024年12月実施　高校転・編入試験要項　品川女子学院高等部,東京都品川区,03-3474-4048,ホームページ・詳細はこちら,,
女子美術大学付属高等学校,新2年,2/12～2/20,2/23,,2/25,英・数・国・美,受・保別々,若干名,https://www.jolnet.com/transfer/10553/,2025年2月実施　高校転・編入試験要項　女子美術大学付属高等学校,東京都杉並区,03-5340-4541,ホームページ・詳細はこちら,,
東邦大学付属東邦中学校,"新2,3年",2/3～2/8,3/7,,3/7,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10063/,2025年3月実施　中学転・編入試験要項　東邦大学付属東邦中学校,千葉県習志野市,047-472-8192,ホームページ・詳細はこちら,,
宝仙学園順天堂大学系属理数インター高等学校,"1,2年",11/12～11/26,12/3,,12/3,英・数・国グローバルコース：数・国・英エッセイ,受のみ※ グローバルコースの面は日・英,若干名,https://www.jolnet.com/transfer/9291/,2023年12月実施　高校転・編入試験要項　宝仙学園順天堂大学系属理数インター高等学校,東京都中野区,03-3371-7103,ホームページ・詳細はこちら,,
兵庫県立芦屋国際中等教育学校,"4,5年",～5/16,5/23,,5/23,英・数・国・作,受のみ,若干名,https://www.jolnet.com/transfer/6760/,2024年5月実施　中学転・編入試験要項　兵庫県立芦屋国際中等教育学校,兵庫県芦屋市,0797-38-2293,ホームページ・詳細はこちら,,
麗澤高等学校,2年,11/4～11/29,12/7,,12/10,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/8724/,2024年12月実施　高校転・編入試験要項　麗澤高等学校,千葉県柏市,04-7173-3700,ホームページ・詳細はこちら,,
宝仙学園順天堂大学系属理数インター高等学校,新2年,2/11～2/25,3/4,,3/4,英・数・国グローバルコース：数・国・英エッセイ,受のみ　※ グローバルコースの面は日・英,若干名,https://www.jolnet.com/transfer/10116/,2024年3月実施　高校転・編入試験要項　宝仙学園順天堂大学系属理数インター高等学校,東京都中野区,03-3371-7103,ホームページ・詳細はこちら,,
西南学院高等学校,新2年,3/3～3/7,3/12,,3/12,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10725/,2025年3月実施　高校転・編入試験要項　西南学院高等学校,福岡県福岡市,092-841-1317,ホームページ・詳細はこちら,,
